company_name,ISIN,bond_types,bond_destination,coupon_rate,maturity_date,bond_currency
Lonza Finance Int,XS2332687040,,International bonds,1.625%,21apr2027, EUR
Elia,XS2332687040,,International bonds,0.875%,28apr2030, EUR
Eni Finance,XS2332687040,,International bonds,1.275%,5may2025, EUR
VGP NV,XS2332687040,Green bonds,International bonds,1.5%,8apr2029, EUR
JAB Holdings,XS2332687040,Senior Unsecured,International bonds,1.75%,25may2023, EUR
JAB Holdings,XS2332687040,Senior Unsecured,International bonds,1.75%,25jun2026, EUR
JAB Holdings,XS2332687040,Senior Unsecured,International bonds,2.5%,25jun2029, EUR
JAB Holdings,XS2332687040,Senior Unsecured,International bonds,1.25%,22may2024, EUR
JAB Holdings,XS2332687040,Senior Unsecured,International bonds,2%,18may2028, EUR
JAB Holdings,XS2332687040,,International bonds,1.625%,30apr2025, EUR
JAB Holdings,XS2332687040,Foreign bonds,International bonds,2.125%,16sep2022, EUR
JAB Holdings,XS2332687040,,International bonds,1.5%,24nov2021, EUR
JAB Holdings,XS2332687040,Foreign bonds,International bonds,2.5%,17apr2027, EUR
JAB Holdings,XS2332687040,Foreign bonds,International bonds,3.375%,17apr2035, EUR
JAB Holdings,XS2332687040,,International bonds,1%,20dec2027, EUR
JAB Holdings,XS2332687040,,International bonds,2.25%,19dec2039, EUR
TRATON Finance Luxembourg S.A.,XS2332687040,,International bonds,0.125%,24mar2025, EUR
TRATON Finance Luxembourg S.A.,XS2332687040,,International bonds,0.75%,24mar2029, EUR
TRATON Finance Luxembourg S.A.,XS2332687040,,International bonds,1.25%,24mar2033, EUR
SIX Finance (Luxembourg),XS2332687040,"Zero-coupon bonds, Senior Unsecured",International bonds,0%,2dec2025, EUR (1826D)
Stellantis,XS2332687040,,International bonds,2%,23mar2024, EUR
BRISA-Concessao Rodoviaria,XS2332687040,,International bonds,1.875%,30apr2025, EUR
BRISA-Concessao Rodoviaria,XS2332687040,,International bonds,2%,22mar2023, EUR
BRISA-Concessao Rodoviaria,XS2332687040,,International bonds,2.375%,10may2027, EUR
Energias de Portugal,XS2332687040,Green bonds,International bonds,1.625%,15apr2027, EUR
Metropolitano de Lisboa,XS2332687040,,International bonds,4.061%,4dec2026, EUR
Metropolitano de Lisboa,XS2332687040,,International bonds,4.799%,7dec2027, EUR
NOS SGPS,XS2332687040,,International bonds,1.125%,2may2023, EUR
Telecom Italia (TIM),XS2332687040,Senior Unsecured,International bonds,7.75%,24jan2033, EUR
Nederlandse Gasunie,XS2332687040,,International bonds,4.5%,20jun2021, EUR
Energias de Portugal,XS2332687040,Zero-coupon bonds,International bonds,0%,12nov2023, EUR (5478D)
Tennet Holding,XS2332687040,Senior Unsecured,International bonds,4.5%,9feb2022, EUR
Tennet Holding,XS2332687040,,International bonds,4.75%,3jun2030, EUR
Tennet Holding,XS2332687040,Senior Unsecured,International bonds,4.625%,21feb2023, EUR
Nederlandse Gasunie,XS2332687040,Senior Unsecured,International bonds,3.625%,13oct2021, EUR
Enexis Holding,XS2332687040,,International bonds,3.375%,26jan2022, EUR
Alliander,XS2332687040,,International bonds,2.875%,14jun2024, EUR
Nederlandse Gasunie,XS2332687040,,International bonds,2.625%,13jul2022, EUR
Akzo Nobel,XS2332687040,Senior Unsecured,International bonds,2.625%,27jul2022, EUR
Nestle S.A.,XS2332687040,Senior Unsecured,International bonds,1.75%,12sep2022, EUR
Alliander,XS2332687040,,International bonds,2.25%,14nov2022, EUR
Wolters Kluwer,XS2332687040,Senior Unsecured,International bonds,2.875%,21mar2023, EUR
Nestle S.A.,XS2332687040,Senior Unsecured,International bonds,2.125%,10sep2021, EUR
ASML Holding,XS2332687040,Senior Unsecured,International bonds,3.375%,19sep2023, EUR
Zapadoslovenska Energetika,XS2332687040,,International bonds,4%,14oct2023, EUR
Holcim Ltd,XS2332687040,Senior Unsecured,International bonds,3%,22jan2024, EUR
Heineken,XS2332687040,,International bonds,3.5%,30jul2029, EUR
DSM,XS2332687040,Senior Unsecured,International bonds,2.375%,3apr2024, EUR
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,2.5%,24mar2026, EUR
Airbus,XS2332687040,Senior Unsecured,International bonds,2.375%,2apr2024, EUR
Wolters Kluwer,XS2332687040,,International bonds,2.5%,13may2024, EUR
SPP Distribucia,XS2332687040,Senior Unsecured,International bonds,2.625%,23jun2021, EUR
Energias de Portugal,XS2332687040,Senior Unsecured,International bonds,2.625%,18jan2022, EUR
Citycon Oyj,XS2332687040,Senior Unsecured,International bonds,2.5%,1oct2024, EUR
CNH Industrial,XS2332687040,,International bonds,2.875%,27sep2021, EUR
Exor NV,XS2332687040,Senior Unsecured,International bonds,2.5%,8oct2024, EUR
Airbus,XS2332687040,Senior Unsecured,International bonds,2.125%,29oct2029, EUR
Nestle S.A.,XS2332687040,Senior Unsecured,International bonds,0.75%,8nov2021, EUR
Akzo Nobel,XS2332687040,Senior Unsecured,International bonds,1.75%,7nov2024, EUR
Novartis,XS2332687040,Senior Unsecured,International bonds,1.625%,9nov2026, EUR
Novartis,XS2332687040,Senior Unsecured,International bonds,0.75%,9nov2021, EUR
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,1%,6apr2022, EUR
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,1.625%,20jan2027, EUR
Urenco,XS2332687040,Senior Unsecured,International bonds,2.375%,2dec2024, EUR
Eurofins Scientific,XS2332687040,Senior Unsecured,International bonds,2.25%,27jan2022, EUR
Unilever,XS2332687040,Senior Unsecured,International bonds,0.5%,3feb2022, EUR
SPP Infrastructure,XS2332687040,Senior Unsecured,International bonds,2.625%,12feb2025, EUR
Redes Energeticas Nacionais (REN),XS2332687040,Senior Unsecured,International bonds,2.5%,12feb2025, EUR
Roche Holding AG,XS2332687040,Senior Unsecured,International bonds,0.875%,25feb2025, EUR
NN Group,XS2332687040,Senior Unsecured,International bonds,1%,18mar2022, EUR
DSM,XS2332687040,Senior Unsecured,International bonds,1%,9apr2025, EUR
Energias de Portugal,XS2332687040,Senior Unsecured,International bonds,2%,22apr2025, EUR
Michelin,XS2332687040,,International bonds,1.125%,28may2022, EUR
Michelin,XS2332687040,,International bonds,1.75%,28may2027, EUR
Adecco,XS2332687040,,International bonds,1.5%,22nov2022, EUR
Unilever,XS2332687040,Senior Unsecured,International bonds,1%,3jun2023, EUR
Tennet Holding,XS2332687040,"Green bonds, Senior Unsecured",International bonds,1.75%,4jun2027, EUR
Eurofins Scientific,XS2332687040,Senior Unsecured,International bonds,3.375%,30jan2023, EUR
Urenco,XS2332687040,Senior Unsecured,International bonds,2.25%,5aug2022, EUR
Heineken,XS2332687040,Senior Unsecured,International bonds,1.25%,10sep2021, EUR
Citycon Oyj,XS2332687040,,International bonds,2.375%,16sep2022, EUR
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,1.875%,15sep2025, EUR
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,1.25%,15mar2022, EUR
DSM,XS2332687040,Senior Unsecured,International bonds,1.375%,26sep2022, EUR
Royal Schiphol Group,XS2332687040,,International bonds,2%,5oct2026, EUR
Enexis Holding,XS2332687040,Senior Unsecured,International bonds,1.5%,20oct2023, EUR
Heineken,XS2332687040,,International bonds,1.7%,23oct2023, EUR
Nestle S.A.,XS2332687040,Senior Unsecured,International bonds,0.75%,16may2023, EUR
Exor NV,XS2332687040,Senior Unsecured,International bonds,2.125%,2dec2022, EUR
Heineken,XS2332687040,Senior Unsecured,International bonds,1.5%,7dec2024, EUR
Exor NV,XS2332687040,Senior Unsecured,International bonds,2.875%,22dec2025, EUR
Roche Finance Europe,XS2332687040,Senior Unsecured,International bonds,0.5%,27feb2023, EUR
Coca-Cola HBC Finance,XS2332687040,Senior Unsecured,International bonds,1.875%,11nov2024, EUR
RELX Finance,XS2332687040,Senior Unsecured,International bonds,1.375%,12may2026, EUR
EDP Finance BV,XS2332687040,Senior Unsecured,International bonds,2.375%,23mar2023, EUR
Akzo Nobel,XS2332687040,Senior Unsecured,International bonds,1.125%,8apr2026, EUR
Enexis Holding,XS2332687040,Senior Unsecured,International bonds,0.875%,28apr2026, EUR
Alliander,XS2332687040,Green bonds,International bonds,0.875%,22apr2026, EUR
Heineken,XS2332687040,Senior Unsecured,International bonds,1%,4may2026, EUR
Abb Finance,XS2332687040,Senior Unsecured,International bonds,0.625%,3may2023, EUR
Unilever,XS2332687040,Senior Unsecured,International bonds,0.5%,29apr2024, EUR
Unilever,XS2332687040,Senior Unsecured,International bonds,1.125%,29apr2028, EUR
ASML Holding,XS2332687040,Senior Unsecured,International bonds,0.625%,7jul2022, EUR
Bunge Ltd,XS2332687040,Senior Unsecured,International bonds,1.85%,16jun2023, EUR
ASML Holding,XS2332687040,Senior Unsecured,International bonds,1.375%,7jul2026, EUR
Nederlandse Gasunie,XS2332687040,Senior Unsecured,International bonds,1%,11may2026, EUR
Airbus,XS2332687040,Senior Unsecured,International bonds,1.375%,13may2031, EUR
Airbus,XS2332687040,Senior Unsecured,International bonds,0.875%,13may2026, EUR
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,1.25%,12may2028, EUR
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,0.75%,12may2024, EUR
CNH Industrial,XS2332687040,,International bonds,2.875%,17may2023, EUR
Holcim Ltd,XS2332687040,,International bonds,1.375%,26may2023, EUR
Holcim Ltd,XS2332687040,Senior Unsecured,International bonds,2.25%,26may2028, EUR
Ren Finance,XS2332687040,Senior Unsecured,International bonds,1.75%,1jun2023, EUR
Tennet Holding,XS2332687040,"Green bonds, Senior Unsecured",International bonds,1.875%,13jun2036, EUR
Tennet Holding,XS2332687040,"Green bonds, Senior Unsecured",International bonds,1%,13jun2026, EUR
Aroundtown,XS2332687040,Senior Unsecured,International bonds,1.5%,15jul2024, EUR
EDP Finance BV,XS2332687040,Senior Unsecured,International bonds,1.125%,12feb2024, EUR
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,0.375%,15feb2025, EUR
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,0.75%,15aug2028, EUR
Koninklijke KPN,XS2332687040,Senior Unsecured,International bonds,0.625%,9apr2025, EUR
Koninklijke KPN,XS2332687040,Senior Unsecured,International bonds,1.125%,11sep2028, EUR
Citycon Oyj,XS2332687040,,International bonds,1.25%,8sep2026, EUR
Novartis,XS2332687040,Senior Unsecured,International bonds,0.125%,20sep2023, EUR
Novartis,XS2332687040,Senior Unsecured,International bonds,0.625%,20sep2028, EUR
DSM,XS2332687040,Senior Unsecured,International bonds,0.75%,28sep2026, EUR
Tennet Holding,XS2332687040,"Green bonds, Senior Unsecured",International bonds,1.25%,24oct2033, EUR
Whirlpool,XS2332687040,Senior Unsecured,International bonds,1.25%,2nov2026, EUR
Heineken,XS2332687040,Senior Unsecured,International bonds,1.375%,29jan2027, EUR
Adecco,XS2332687040,Senior Unsecured,International bonds,1%,2dec2024, EUR
ASML Holding,XS2332687040,Senior Unsecured,International bonds,1.625%,28may2027, EUR
Aegon,XS2332687040,Senior Unsecured,International bonds,1%,8dec2023, EUR
W.P. Carey,XS2332687040,Senior Unsecured,International bonds,2.25%,19jul2024, EUR
NN Group,XS2332687040,Senior Unsecured,International bonds,0.875%,13jan2023, EUR
Energias de Portugal,XS2332687040,Senior Unsecured,International bonds,1.875%,29sep2023, EUR
Unilever,XS2332687040,Senior Unsecured,International bonds,0.375%,14feb2023, EUR
Unilever,XS2332687040,Senior Unsecured,International bonds,1%,14feb2027, EUR
Wolters Kluwer,XS2332687040,Senior Unsecured,International bonds,1.5%,22mar2027, EUR
RELX Plc,XS2332687040,Senior Unsecured,International bonds,1%,22mar2024, EUR
Novartis,XS2332687040,Senior Unsecured,International bonds,1.125%,30sep2027, EUR
HeidelbergCement,XS2332687040,Senior Unsecured,International bonds,1.625%,7apr2026, EUR
Heineken,XS2332687040,Senior Unsecured,International bonds,2.02%,12may2032, EUR
ABB,XS2332687040,Senior Unsecured,International bonds,0.75%,16may2024, EUR
NN Group,XS2332687040,Senior Unsecured,International bonds,1.625%,1jun2027, EUR
HeidelbergCement,XS2332687040,Senior Unsecured,International bonds,1.5%,14jun2027, EUR
Tennet Holding,XS2332687040,"Green bonds, Senior Unsecured",International bonds,0.75%,26jun2025, EUR
Tennet Holding,XS2332687040,"Green bonds, Senior Unsecured",International bonds,1.375%,26jun2029, EUR
Compass Group,XS2332687040,Senior Unsecured,International bonds,0.625%,3jul2024, EUR
Eurofins Scientific,XS2332687040,Senior Unsecured,International bonds,2.125%,25jul2024, EUR
ADLER Group S.A.,XS2332687040,,International bonds,1.5%,26jul2024, EUR
Unilever,XS2332687040,"Zero-coupon bonds, Senior Unsecured",International bonds,0%,31jul2021, EUR (1461D)
Unilever,XS2332687040,Senior Unsecured,International bonds,0.875%,31jul2025, EUR
Unilever,XS2332687040,Senior Unsecured,International bonds,1.375%,31jul2029, EUR
Grand City Properties,XS2332687040,Senior Unsecured,International bonds,1.375%,3aug2026, EUR
Philips,XS2332687040,Senior Unsecured,International bonds,0.5%,6sep2023, EUR
Holcim Ltd,XS2332687040,Senior Unsecured,International bonds,1.75%,29aug2029, EUR
CNH Industrial,XS2332687040,Senior Unsecured,International bonds,1.75%,12sep2025, EUR
Deere&Company,XS2332687040,Senior Unsecured,International bonds,0.5%,15sep2023, EUR
Koninklijke Ahold Delhaize,XS2332687040,Senior Unsecured,International bonds,0.875%,19sep2024, EUR
Heineken,XS2332687040,Senior Unsecured,International bonds,1.5%,3oct2029, EUR
Stedin Holding,XS2332687040,Senior Unsecured,International bonds,0.875%,24oct2025, EUR
Stedin Holding,XS2332687040,Floating rate,International bonds,FRN,24oct2022, EUR
Nestle S.A.,XS2332687040,Senior Unsecured,International bonds,0.375%,18jan2024, EUR
Nestle S.A.,XS2332687040,Senior Unsecured,International bonds,1.75%,2nov2037, EUR
Nestle S.A.,XS2332687040,Senior Unsecured,International bonds,1.25%,2nov2029, EUR
PostNL,XS2332687040,,International bonds,1%,21nov2024, EUR
Aroundtown,XS2332687040,Senior Unsecured,International bonds,1%,7jan2025, EUR
Whirlpool,XS2332687040,Senior Unsecured,International bonds,1.100%,9nov2027, EUR
EDP Finance BV,XS2332687040,Senior Unsecured,International bonds,1.5%,22nov2027, EUR
ArcelorMittal,XS2332687040,Senior Unsecured,International bonds,0.95%,17jan2023, EUR
Exor NV,XS2332687040,Senior Unsecured,International bonds,1.75%,18jan2028, EUR
Redes Energeticas Nacionais (REN),XS2332687040,,International bonds,1.75%,18jan2028, EUR
Aroundtown,XS2332687040,Senior Unsecured,International bonds,1.625%,31jan2028, EUR
Novartis,XS2332687040,Senior Unsecured,International bonds,0.5%,14aug2023, EUR
Novartis,XS2332687040,Senior Unsecured,International bonds,1.375%,14aug2030, EUR
Novartis,XS2332687040,Senior Unsecured,International bonds,1.7%,14aug2038, EUR
Unilever,XS2332687040,Senior Unsecured,International bonds,0.5%,12aug2023, EUR
Unilever,XS2332687040,Senior Unsecured,International bonds,1.125%,12feb2027, EUR
Unilever,XS2332687040,Senior Unsecured,International bonds,1.625%,12feb2033, EUR
Grand City Properties,XS2332687040,Senior Unsecured,International bonds,1.5%,22feb2027, EUR
Zapadoslovenska Energetika,XS2332687040,,International bonds,1.75%,2mar2028, EUR
W.P. Carey,XS2332687040,Senior Unsecured,International bonds,2.125%,15apr2027, EUR
Koninklijke Ahold Delhaize,XS2332687040,Senior Unsecured,International bonds,1.125%,19mar2026, EUR
Euronext,XS2332687040,Senior Unsecured,International bonds,1%,18apr2025, EUR
Compagnie Financiere Richemont,XS2332687040,Senior Unsecured,International bonds,1%,26mar2026, EUR
Compagnie Financiere Richemont,XS2332687040,Senior Unsecured,International bonds,1.5%,26mar2030, EUR
Compagnie Financiere Richemont,XS2332687040,Senior Unsecured,International bonds,2%,26mar2038, EUR
RELX Plc,XS2332687040,Senior Unsecured,International bonds,1.5%,13may2027, EUR
SES,XS2332687040,Senior Unsecured,International bonds,1.625%,22mar2026, EUR
HeidelbergCement,XS2332687040,Senior Unsecured,International bonds,1.75%,24apr2028, EUR
Philips,XS2332687040,Senior Unsecured,International bonds,0.75%,2may2024, EUR
Philips,XS2332687040,Senior Unsecured,International bonds,1.375%,2may2028, EUR
Aroundtown,XS2332687040,Senior Unsecured,International bonds,2%,2nov2026, EUR
Citycon Treasury,XS2332687040,,International bonds,2.375%,15jan2027, EUR
PACCAR,XS2332687040,"Senior Unsecured, Floating rate",International bonds,FRN,18may2021, EUR
CNH Industrial,XS2332687040,Senior Unsecured,International bonds,1.875%,19jan2026, EUR
Tennet Holding,XS2332687040,"Green bonds, Senior Unsecured",International bonds,1.375%,5jun2028, EUR
Tennet Holding,XS2332687040,"Green bonds, Senior Unsecured",International bonds,2%,5jun2034, EUR
W.P. Carey,XS2332687040,Senior Unsecured,International bonds,2.25%,9apr2026, EUR
EDP Finance BV,XS2332687040,Senior Unsecured,International bonds,1.625%,26jan2026, EUR
HeidelbergCement,XS2332687040,Senior Unsecured,International bonds,0.5%,9aug2022, EUR
Unilever,XS2332687040,Senior Unsecured,International bonds,0.5%,6jan2025, EUR
Unilever,XS2332687040,Senior Unsecured,International bonds,1.375%,4sep2030, EUR
Compass Group Finance Netherlands,XS2332687040,Senior Unsecured,International bonds,1.5%,5sep2028, EUR
Heineken,XS2332687040,Senior Unsecured,International bonds,1.75%,17mar2031, EUR
Heineken,XS2332687040,Senior Unsecured,International bonds,1.25%,17mar2027, EUR
Stedin Holding,XS2332687040,Senior Unsecured,International bonds,1.375%,19sep2028, EUR
Nederlandse Gasunie,XS2332687040,,International bonds,1.375%,16oct2028, EUR
EDP Finance BV,XS2332687040,"Green bonds, Senior Unsecured",International bonds,1.875%,13oct2025, EUR
Royal Schiphol Group,XS2332687040,"Green bonds, Senior Unsecured",International bonds,1.5%,5nov2030, EUR
ArcelorMittal,XS2332687040,Senior Unsecured,International bonds,2.25%,17jan2024, EUR
Paccar Financial Europe B.V.,XS2332687040,,International bonds,0.125%,7mar2022, EUR
CNH Industrial,XS2332687040,Senior Unsecured,International bonds,1.75%,25mar2027, EUR
Adecco,XS2332687040,,International bonds,1.25%,20nov2029, EUR
Coca-Cola HBC AG,XS2332687040,Senior Unsecured,International bonds,1%,14may2027, EUR
Coca-Cola HBC AG,XS2332687040,Senior Unsecured,International bonds,1.625%,14may2031, EUR
Philips,XS2332687040,"Green bonds, Senior Unsecured",International bonds,0.5%,22may2026, EUR
Tennet Holding,XS2332687040,"Green bonds, Senior Unsecured",International bonds,0.875%,3jun2030, EUR
Tennet Holding,XS2332687040,"Green bonds, Senior Unsecured",International bonds,1.5%,3jun2039, EUR
Euronext,XS2332687040,Senior Unsecured,International bonds,1.125%,12jun2029, EUR
ASML Holding,XS2332687040,Senior Unsecured,International bonds,0.25%,25feb2030, EUR
Schlumberger,XS2332687040,Senior Unsecured,International bonds,0.5%,15oct2031, EUR
Schlumberger,XS2332687040,Senior Unsecured,International bonds,0.25%,15oct2027, EUR
Schlumberger,XS2332687040,"Zero-coupon bonds, Senior Unsecured",International bonds,0%,15oct2024, EUR (1859D)
Deere&Company,XS2332687040,Senior Unsecured,International bonds,1.65%,13jun2039, EUR
Alliander,XS2332687040,Green bonds,International bonds,0.875%,24jun2032, EUR
Koninklijke Ahold Delhaize,XS2332687040,Senior Unsecured,International bonds,0.25%,26jun2025, EUR
HeidelbergCement,XS2332687040,Senior Unsecured,International bonds,1.125%,1dec2027, EUR
Enexis Holding,XS2332687040,Senior Unsecured,International bonds,0.75%,2jul2031, EUR
CNH Industrial,XS2332687040,Senior Unsecured,International bonds,1.625%,3jul2029, EUR
Aroundtown,XS2332687040,Senior Unsecured,International bonds,0.625%,9jul2025, EUR
Aroundtown,XS2332687040,Senior Unsecured,International bonds,1.45%,9jul2028, EUR
PostNL,XS2332687040,,International bonds,0.625%,23sep2026, EUR
LyondellBasell Industries,XS2332687040,Senior Unsecured,International bonds,0.875%,17sep2026, EUR
LyondellBasell Industries,XS2332687040,Senior Unsecured,International bonds,1.625%,17sep2031, EUR
EDP Finance BV,XS2332687040,"Green bonds, Senior Unsecured",International bonds,0.375%,16sep2026, EUR
Mondelez International Holdings Netherlands,XS2332687040,Senior Unsecured,International bonds,0.875%,1oct2031, EUR
CK Hutchison Holdings Limited,XS2332687040,Senior Unsecured,International bonds,0.375%,17oct2023, EUR
CK Hutchison Holdings Limited,XS2332687040,Senior Unsecured,International bonds,0.75%,17apr2026, EUR
CK Hutchison Holdings Limited,XS2332687040,Senior Unsecured,International bonds,1.125%,17oct2028, EUR
CK Hutchison Holdings Limited,XS2332687040,Senior Unsecured,International bonds,1.5%,17oct2031, EUR
Exor NV,XS2332687040,Senior Unsecured,International bonds,1.75%,14oct2034, EUR
Nederlandse Gasunie,XS2332687040,Senior Unsecured,International bonds,0.375%,3oct2031, EUR
SES,XS2332687040,Senior Unsecured,International bonds,0.875%,4nov2027, EUR
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,0.125%,8nov2027, EUR
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,0.5%,8nov2031, EUR
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,0.875%,8nov2039, EUR
Stedin Holding,XS2332687040,"Green bonds, Senior Unsecured",International bonds,0.5%,14nov2029, EUR
Holcim Ltd,XS2332687040,Senior Unsecured,International bonds,0.5%,29nov2026, EUR
ArcelorMittal,XS2332687040,Senior Unsecured,International bonds,1%,19may2023, EUR
ArcelorMittal,XS2332687040,Senior Unsecured,International bonds,1.75%,19nov2025, EUR
Coca-Cola HBC AG,XS2332687040,Senior Unsecured,International bonds,0.625%,21nov2029, EUR
Digital Realty Trust Inc,XS2332687040,Senior Unsecured,International bonds,0.125%,15oct2022, EUR
Digital Realty Trust Inc,XS2332687040,Senior Unsecured,International bonds,0.625%,15jul2025, EUR
Digital Realty Trust Inc,XS2332687040,Senior Unsecured,International bonds,1.5%,15mar2030, EUR
TE Connectivity,XS2332687040,"Zero-coupon bonds, Senior Unsecured",International bonds,0%,14feb2025, EUR (1827D)
Whirlpool,XS2332687040,Senior Unsecured,International bonds,0.5%,20feb2028, EUR
PACCAR Financial,XS2332687040,"Zero-coupon bonds, Senior Unsecured",International bonds,0%,3mar2023," EUR (30,  1095D)"
RELX Plc,XS2332687040,"Zero-coupon bonds, Senior Unsecured",International bonds,0%,18mar2024, EUR (1469D)
RELX Plc,XS2332687040,Senior Unsecured,International bonds,0.5%,10mar2028, EUR
RELX Plc,XS2332687040,Senior Unsecured,International bonds,0.875%,10mar2032, EUR
Givaudan,XS2332687040,Senior Unsecured,International bonds,1%,22apr2027, EUR
Givaudan,XS2332687040,Senior Unsecured,International bonds,1.625%,22apr2032, EUR
Signify,XS2332687040,Senior Unsecured,International bonds,2%,11may2024, EUR
Signify,XS2332687040,Senior Unsecured,International bonds,2.375%,11may2027, EUR
Unilever,XS2332687040,Senior Unsecured,International bonds,1.25%,25mar2025, EUR
Unilever,XS2332687040,Senior Unsecured,International bonds,1.75%,25mar2030, EUR
Heineken,XS2332687040,Senior Unsecured,International bonds,1.625%,30mar2025, EUR
Heineken,XS2332687040,Senior Unsecured,International bonds,2.25%,30mar2030, EUR
Nestle S.A.,XS2332687040,Senior Unsecured,International bonds,1.125%,1apr2026, EUR
Nestle S.A.,XS2332687040,Senior Unsecured,International bonds,1.5%,1apr2030, EUR
Philips,XS2332687040,Senior Unsecured,International bonds,1.375%,30mar2025, EUR
Philips,XS2332687040,Senior Unsecured,International bonds,2%,30mar2030, EUR
John Deere Capital,XS2332687040,Senior Unsecured,International bonds,1.375%,2apr2024, EUR
John Deere Capital,XS2332687040,Senior Unsecured,International bonds,1.85%,2apr2028, EUR
John Deere Capital,XS2332687040,Senior Unsecured,International bonds,2.2%,2apr2032, EUR
Koninklijke Ahold Delhaize,XS2332687040,Senior Unsecured,International bonds,1.75%,2apr2027, EUR
Airbus,XS2332687040,Senior Unsecured,International bonds,1.625%,7apr2025, EUR
Airbus,XS2332687040,Senior Unsecured,International bonds,2%,7apr2028, EUR
Airbus,XS2332687040,Senior Unsecured,International bonds,2.375%,7apr2032, EUR
Schiphol Nederland,XS2332687040,"Green bonds, Senior Secured",International bonds,2%,6apr2029, EUR
British American Tobacco,XS2332687040,Senior Secured,International bonds,2.375%,7oct2024, EUR
British American Tobacco,XS2332687040,Senior Secured,International bonds,3.125%,7apr2028, EUR
Grand City Properties,XS2332687040,Senior Unsecured,International bonds,1.7%,9apr2024, EUR
HeidelbergCement,XS2332687040,Senior Secured,International bonds,2.5%,9oct2024, EUR
Royal Dutch Shell,XS2332687040,Senior Unsecured,International bonds,1.125%,7apr2024, EUR
