company_name,company_description,relationship_to_bond,sector,industry,ISIN,bond_destination,coupon_rate,total_bond_amount,nominal_amount,maturity_date,bond_currency,country,status,stocks_info,bond_types,Floating rate,Foreign bonds,Green bonds,Senior Secured,Senior Unsecured,Zero-coupon bonds
Elia,"Elia is not just Belgium’s transmission system operator – it is also a key player at European level. Elia is Belgium’s high-voltage transmission system operator (30 kV to 380 kV), operating over 8,000 km of lines and ...",Profile,corporate,Power,BE0002629104,International bonds,1.375%,"500,000,000 EUR","100,000 EUR",14jan2026, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Fluvius System Operator,"Fluvius System Operator CVBA (formerly Eandis System Operator CVBA) is responsible for operating this extensive network in 234 towns, cities and municipalities. After all, Eandis stands for Electricity, nAtural gas, Networks and Distribution.",Profile,corporate,Power,BE0002755362,International bonds,0.25%,"600,000,000 EUR","100,000 EUR",2dec2030, EUR,Belgium,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,yes,no
GBL,"GBL is one of the largest listed Belgian companies and is the second largest holding company in Europe, with adjusted net assets of EUR 15.6 billion and a market capitalisation of EUR 11.7 billion at the ...",Profile,corporate,Financial institutions,BE0002767482,International bonds,0.125%,"500,000,000 EUR","100,000 EUR",28jan2031, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Fluvius System Operator,"Fluvius System Operator CVBA (formerly Eandis System Operator CVBA) is responsible for operating this extensive network in 234 towns, cities and municipalities. After all, Eandis stands for Electricity, nAtural gas, Networks and Distribution.",Profile,corporate,Power,BE6228266902,International bonds,4.5%,"500,000,000 EUR","100,000 EUR",8nov2021, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6243179650,International bonds,2.875%,"750,000,000 EUR","1,000 EUR",25sep2024, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6248644013,International bonds,3.25%,"500,000,000 EUR","1,000 EUR",24jan2033, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Brussels Airport,Brussels Airport Company is the limited company to which the Belgian State has granted the licence to operate Brussels Airport. 75% of the company's shares are held by a consortium of private investors. The Belgian State ...,Profile,corporate,Transportation,BE6256887967,International bonds,3.3%,"200,000,000 EUR","100,000 EUR",9sep2025, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Apetra,APETRA serves two goals: to guarantee the security of oil supply of Belgium; to ensure that Belgium meets its international obligations concerning the maintenance of a minimum reserve of crude oil and oil products.,Profile,corporate,Oil and gas,BE6257983286,International bonds,3.125%,"400,000,000 EUR","100,000 EUR",25sep2023, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6265142099,International bonds,2.7%,"1,000,000,000 EUR","1,000 EUR",31mar2026, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6276040431,International bonds,1.5%,"1,250,000,000 EUR","1,000 EUR",18apr2030, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6285455497,International bonds,2%,"3,000,000,000 EUR","1,000 EUR",17mar2028, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6285457519,International bonds,2.75%,"2,750,000,000 EUR","1,000 EUR",17mar2036, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Barry Callebaut Services,Barry Callebaut is the world’s leading manufacturer of high-quality chocolate and cocoa products.,Profile,corporate,Food industry,BE6286963051,International bonds,2.375%,"450,000,000 EUR","1,000 EUR",24may2024, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Brussels Airport,Brussels Airport Company is the limited company to which the Belgian State has granted the licence to operate Brussels Airport. 75% of the company's shares are held by a consortium of private investors. The Belgian State ...,Profile,corporate,Transportation,BE6295011025,International bonds,1%,"300,000,000 EUR","100,000 EUR",3may2024, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6301509012,International bonds,FRN,"1,500,000,000 EUR","1,000 EUR",15apr2024, EUR,Belgium,Outstanding,"Par amount, integral multiple",Floating rate,yes,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6301510028,International bonds,1.15%,"2,000,000,000 EUR","1,000 EUR",22jan2027, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6301511034,International bonds,2%,"750,000,000 EUR","1,000 EUR",23jan2035, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6312821612,International bonds,1.125%,"1,250,000,000 EUR","1,000 EUR",1jul2027, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6312822628,International bonds,1.65%,"1,000,000,000 EUR","1,000 EUR",28mar2031, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Solvay,Solvay S.A. is a Belgian chemical company founded in 1863.,Profile,corporate,Chemical and petrochemical industry,BE6315847804,International bonds,0.5%,"600,000,000 EUR","100,000 EUR",6sep2029, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6320934266,International bonds,2.125%,"1,000,000,000 EUR","1,000 EUR",2dec2027, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6320935271,International bonds,2.875%,"1,750,000,000 EUR","1,000 EUR",2apr2032, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6320936287,International bonds,3.7%,"1,750,000,000 EUR","1,000 EUR",2apr2040, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Lonza Finance Int,Lonza Finance Int,Issuer,corporate,Other sectors,BE6321076711,International bonds,1.625%,"500,000,000 EUR","1,000 EUR",21apr2027, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Elia,"Elia is not just Belgium’s transmission system operator – it is also a key player at European level. Elia is Belgium’s high-voltage transmission system operator (30 kV to 380 kV), operating over 8,000 km of lines and ...",Profile,corporate,Power,BE6321529396,International bonds,0.875%,"800,000,000 EUR","100,000 EUR",28apr2030, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Eni Finance,Eni Finance International SA provides various financial and personal services to ENI group companies.,Profile,corporate,Oil and gas,BE6321718346,International bonds,1.275%,"500,000,000 EUR","1,000 EUR",5may2025, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
VGP NV,"VGP Group designs, constructs and leases out logistics complexes and semi-industrial parks in the region of Central and Eastern Europe. It has built and successfully leases out a number of its own production and logistics complexes.",Profile,corporate,Construction and development,BE6327721237,International bonds,1.5%,"600,000,000 EUR","100,000 EUR",8apr2029, EUR,Belgium,Outstanding,"Par amount, integral multiple",Green bonds,no,no,yes,no,no,no
JAB Holdings,JAB Holdings B.V. is a principal investment arm of Donata Holding SE specializing in investments in companies with premium brands in the consumer goods sector.,Profile,corporate,Financial institutions,DE000A181034,International bonds,1.75%,"700,900,000 EUR","100,000 EUR",25may2023, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,yes,no
JAB Holdings,JAB Holdings B.V. is a principal investment arm of Donata Holding SE specializing in investments in companies with premium brands in the consumer goods sector.,Profile,corporate,Financial institutions,DE000A1919G4,International bonds,1.75%,"750,000,000 EUR","100,000 EUR",25jun2026, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,yes,no
JAB Holdings,JAB Holdings B.V. is a principal investment arm of Donata Holding SE specializing in investments in companies with premium brands in the consumer goods sector.,Profile,corporate,Financial institutions,DE000A1919H2,International bonds,2.5%,"750,000,000 EUR","100,000 EUR",25jun2029, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,yes,no
JAB Holdings,JAB Holdings B.V. is a principal investment arm of Donata Holding SE specializing in investments in companies with premium brands in the consumer goods sector.,Profile,corporate,Financial institutions,DE000A19HCW0,International bonds,1.25%,"750,000,000 EUR","100,000 EUR",22may2024, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,yes,no
JAB Holdings,JAB Holdings B.V. is a principal investment arm of Donata Holding SE specializing in investments in companies with premium brands in the consumer goods sector.,Profile,corporate,Financial institutions,DE000A19HCX8,International bonds,2%,"750,000,000 EUR","100,000 EUR",18may2028, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,yes,no
JAB Holdings,JAB Holdings B.V. is a principal investment arm of Donata Holding SE specializing in investments in companies with premium brands in the consumer goods sector.,Profile,corporate,Financial institutions,DE000A1Z0TA4,International bonds,1.625%,"600,000,000 EUR","1,000 EUR",30apr2025, EUR,Netherlands,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
JAB Holdings,JAB Holdings B.V. is a principal investment arm of Donata Holding SE specializing in investments in companies with premium brands in the consumer goods sector.,Profile,corporate,Financial institutions,DE000A1Z6C06,International bonds,2.125%,"750,000,000 EUR","100,000 EUR",16sep2022, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Foreign bonds,no,yes,no,no,no,no
JAB Holdings,JAB Holdings B.V. is a principal investment arm of Donata Holding SE specializing in investments in companies with premium brands in the consumer goods sector.,Profile,corporate,Financial institutions,DE000A1ZSAF4,International bonds,1.5%,"750,000,000 EUR","100,000 EUR",24nov2021, EUR,Netherlands,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
JAB Holdings,JAB Holdings B.V. is a principal investment arm of Donata Holding SE specializing in investments in companies with premium brands in the consumer goods sector.,Profile,corporate,Financial institutions,DE000A28V301,International bonds,2.5%,"500,000,000 EUR","100,000 EUR",17apr2027, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Foreign bonds,no,yes,no,no,no,no
JAB Holdings,JAB Holdings B.V. is a principal investment arm of Donata Holding SE specializing in investments in companies with premium brands in the consumer goods sector.,Profile,corporate,Financial institutions,DE000A28V319,International bonds,3.375%,"500,000,000 EUR","100,000 EUR",17apr2035, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Foreign bonds,no,yes,no,no,no,no
JAB Holdings,JAB Holdings B.V. is a principal investment arm of Donata Holding SE specializing in investments in companies with premium brands in the consumer goods sector.,Profile,corporate,Financial institutions,DE000A2SBDE0,International bonds,1%,"750,000,000 EUR","100,000 EUR",20dec2027, EUR,Netherlands,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
JAB Holdings,JAB Holdings B.V. is a principal investment arm of Donata Holding SE specializing in investments in companies with premium brands in the consumer goods sector.,Profile,corporate,Financial institutions,DE000A2SBDF7,International bonds,2.25%,"750,000,000 EUR","100,000 EUR",19dec2039, EUR,Netherlands,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
TRATON Finance Luxembourg S.A.,TRATON Finance Luxembourg S.A.,Issuer,corporate,Engineering industry,DE000A3KNP88,International bonds,0.125%,"1,000,000,000 EUR","100,000 EUR",24mar2025, EUR,Luxembourg,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
TRATON Finance Luxembourg S.A.,TRATON Finance Luxembourg S.A.,Issuer,corporate,Engineering industry,DE000A3KNP96,International bonds,0.75%,"1,250,000,000 EUR","100,000 EUR",24mar2029, EUR,Luxembourg,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
TRATON Finance Luxembourg S.A.,TRATON Finance Luxembourg S.A.,Issuer,corporate,Engineering industry,DE000A3KNQA0,International bonds,1.25%,"750,000,000 EUR","100,000 EUR",24mar2033, EUR,Luxembourg,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
SIX Finance (Luxembourg),SIX Finance (Luxembourg) S.A. is a Luxembourg based company providing financial services.,Profile,corporate,Financial institutions,ES0305523005,International bonds,0%,"650,000,000 EUR","100,000 EUR",2dec2025, EUR (1826D),Luxembourg,Outstanding,"Par amount, integral multiple","Zero-coupon bonds, Senior Unsecured",no,no,no,no,yes,yes
Stellantis,"Stellantis N.V (formerly Fiat Chrysler Automobiles NV) was established in 2014 by merging Fiat S.p.A. into a new Netherlands-based holding company with its global headquarters in London, UK and listings on the Borsa Italiana and New ...",Profile,corporate,Engineering industry,FR0013245586,International bonds,2%,"700,000,000 EUR","1,000 EUR",23mar2024, EUR,Netherlands,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
BRISA-Concessao Rodoviaria,"Established in 1972, Brisa concession links Portugal from North to South and East to West, with two major accesses to Spain that connect the country to the Trans-European motorway network. Brisa's challenge is continuously renewed in the ...",Profile,corporate,Transportation,PTBSSIOM0015,International bonds,1.875%,"300,000,000 EUR","100,000 EUR",30apr2025, EUR,Portugal,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
BRISA-Concessao Rodoviaria,"Established in 1972, Brisa concession links Portugal from North to South and East to West, with two major accesses to Spain that connect the country to the Trans-European motorway network. Brisa's challenge is continuously renewed in the ...",Profile,corporate,Transportation,PTBSSJOM0014,International bonds,2%,"300,000,000 EUR","100,000 EUR",22mar2023, EUR,Portugal,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
BRISA-Concessao Rodoviaria,"Established in 1972, Brisa concession links Portugal from North to South and East to West, with two major accesses to Spain that connect the country to the Trans-European motorway network. Brisa's challenge is continuously renewed in the ...",Profile,corporate,Transportation,PTBSSLOM0002,International bonds,2.375%,"300,000,000 EUR","100,000 EUR",10may2027, EUR,Portugal,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Energias de Portugal,Energias de Portugal,Issuer,corporate,Power,PTEDPNOM0015,International bonds,1.625%,"750,000,000 EUR","100,000 EUR",15apr2027, EUR,Portugal,Outstanding,"Par amount, integral multiple",Green bonds,no,no,yes,no,no,no
Metropolitano de Lisboa,"The Lisbon Metro (Portuguese: Metropolitano de Lisboa) is the metro (subway) system of Lisbon, Portugal. Opened in December 1959, it was the first subway system in Portugal. As of 2012, the four Lisbon metro lines total ...",Profile,corporate,Transportation,PTMTLBOM0007,International bonds,4.061%,"400,000,000 EUR","50,000 EUR",4dec2026, EUR,Portugal,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Metropolitano de Lisboa,"The Lisbon Metro (Portuguese: Metropolitano de Lisboa) is the metro (subway) system of Lisbon, Portugal. Opened in December 1959, it was the first subway system in Portugal. As of 2012, the four Lisbon metro lines total ...",Profile,corporate,Transportation,PTMTLCOM0006,International bonds,4.799%,"400,000,000 EUR","50,000 EUR",7dec2027, EUR,Portugal,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
NOS SGPS,"NOS is a Portuguese media holding company which main assets include a satellite, cable operator, and ISP, a mobile phone operator, a movie distributor, and a virtual carrier of mobile phone services. Its services include cable ...",Profile,corporate,Media and Entertainment,PTNOSFOM0000,International bonds,1.125%,"300,000,000 EUR","100,000 EUR",2may2023, EUR,Portugal,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Telecom Italia (TIM),"Telecom Italia S.p.A., doing business as Tim S.P.A. offers cellular telephone services. The Company provides internet access, fixed and mobile telecommunications, data transmission, repairs, and after-sales services, as well as sells telephones and accessories. Tim serves ...",Profile,corporate,Communication,XS0161100515,International bonds,7.75%,"1,050,000,000 EUR","1,000 EUR",24jan2033, EUR,Italy,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,yes,no
Nederlandse Gasunie,"N.V. Nederlandse Gasunie, through its subsidiaries, operates as a cross-border gas infrastructure company in Europe. The company engages in the development, management, and operation of gas transport systems in the Netherlands and the northern part of ...",Profile,corporate,Public utilities,XS0257884436,International bonds,4.5%,"300,000,000 EUR","1,000 EUR",20jun2021, EUR,Netherlands,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Energias de Portugal,Energias de Portugal,Borrower,corporate,Power,XS0399353506,International bonds,0%,"160,000,000 EUR","1,000 EUR",12nov2023, EUR (5478D),Portugal,Outstanding,"Par amount, integral multiple",Zero-coupon bonds,no,no,no,no,no,yes
Tennet Holding,"TenneT Holding B.V. operates as a holding company. The Company, through its subsidiaries, provides power transmission and distribution services. TenneT Holding generates electricity from generators and supplies it to consumers in the Netherlands and Germany.",Profile,corporate,Power,XS0485616758,International bonds,4.5%,"500,000,000 EUR","1,000 EUR",9feb2022, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,yes,no
Tennet Holding,"TenneT Holding B.V. operates as a holding company. The Company, through its subsidiaries, provides power transmission and distribution services. TenneT Holding generates electricity from generators and supplies it to consumers in the Netherlands and Germany.",Profile,corporate,Power,XS0513509959,International bonds,4.75%,"200,000,000 EUR","1,000 EUR",3jun2030, EUR,Netherlands,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Tennet Holding,"TenneT Holding B.V. operates as a holding company. The Company, through its subsidiaries, provides power transmission and distribution services. TenneT Holding generates electricity from generators and supplies it to consumers in the Netherlands and Germany.",Profile,corporate,Power,XS0593606121,International bonds,4.625%,"500,000,000 EUR","100,000 EUR",21feb2023, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,yes,no
Nederlandse Gasunie,"N.V. Nederlandse Gasunie, through its subsidiaries, operates as a cross-border gas infrastructure company in Europe. The company engages in the development, management, and operation of gas transport systems in the Netherlands and the northern part of ...",Profile,corporate,Public utilities,XS0690606172,International bonds,3.625%,"434,476,000 EUR","1,000 EUR",13oct2021, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,yes,no
Enexis Holding,"Enexis manages the energy grid in the North, East and South of the Netherlands.",Profile,corporate,Power,XS0737138460,International bonds,3.375%,"300,000,000 EUR","1,000 EUR",26jan2022, EUR,Netherlands,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Alliander,"The business units of Liander and Liandon make up the network company Alliander whose staff of around 7,000 are responsible for energy distribution in large areas of the Netherlands.",Profile,corporate,Power,XS0792977984,International bonds,2.875%,"400,000,000 EUR","1,000 EUR",14jun2024, EUR,Netherlands,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Nederlandse Gasunie,"N.V. Nederlandse Gasunie, through its subsidiaries, operates as a cross-border gas infrastructure company in Europe. The company engages in the development, management, and operation of gas transport systems in the Netherlands and the northern part of ...",Profile,corporate,Public utilities,XS0804217536,International bonds,2.625%,"379,709,000 EUR","1,000 EUR",13jul2022, EUR,Netherlands,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Akzo Nobel,"Akzo Nobel is a Dutch multinational, active in the fields of decorative paints, performance coatings and specialty chemicals. Headquartered in Amsterdam, the company has activities in more than 80 countries, and employs approximately 50,000 people.",Profile,corporate,Chemical and petrochemical industry,XS0809847667,International bonds,2.625%,"750,000,000 EUR","1,000 EUR",27jul2022, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,yes,no
